# tap water rinsed coco coit IKEA

    pH    EC
1  7.6    0.52   # tapwater
2  6.1    3.18   # rinse 1 run-off
3  6.2    1.93   # rinse 2 run-off
4  6.7    0.72   # rinse 3 run-off
